대학구분,지역,학교명,학부·과(전공)명
전문대학,경기,ICT폴리텍대학,멀티미디어통신학과
전문대학,경기,ICT폴리텍대학,모바일통신학과
전문대학,경기,ICT폴리텍대학,스마트통신학과
전문대학,경기,ICT폴리텍대학,정보통신학과
대학원,경기,가천대학교 일반대학원,IT융합공학과 (학과간협동과정)
대학원,강원,가톨릭관동대학교 일반대학원,전자통신공학과
대학,경기,가톨릭대학교,정보통신전자공학부
전문대학,경북,가톨릭상지대학교,스마트IoT융합과
전문대학,강원,강릉영동대학교,정보통신과
전문대학,강원,강릉영동대학교,정보통신과
대학,강원,강릉원주대학교,정보통신공학과
대학원,강원,강릉원주대학교 대학원,정보통신공학과
대학원,강원,강릉원주대학교 산업대학원,정보통신공학과
대학,강원,강원대학교,전자정보통신공학부
대학,강원,강원대학교,정보통신공학전공
대학원,강원,강원대학교 산업과학대학원,정보통신공학과
대학원,강원,강원대학교 산업대학원,전자통신공학과
대학원,강원,강원대학교 산업대학원,컴퓨터정보통신공학과
대학원,강원,강원대학교 일반대학원,전자정보통신공학과
대학원,강원,강원대학교 일반대학원,컴퓨터정보통신공학과
대학원,강원,강원대학교 정보과학ㆍ행정대학원,정보보안전공
대학,서울,건국대학교,스마트ICT융합공학과
대학원,서울,건국대학교 산업대학원,방위사업학과
대학원,서울,건국대학교 일반대학원,스마트ICT융합공학과
대학원,서울,건국대학교 일반대학원,휴먼ICT학과
대학원,서울,건국대학교 정보통신대학원,융합정보기술학과
대학원,서울,건국대학교 정보통신대학원,정보보안학과
대학,충남,건양대학교,사이버보안공학과
대학,충남,건양대학교,융합IT학과
전문대학,경기,경기과학기술대학교,전자통신공학과
전문대학,경기,경기과학기술대학교,전자통신공학과
전문대학,경기,경기과학기술대학교,전자통신과
전문대학,경기,경기과학기술대학교,전자통신과
전문대학,경기,경기과학기술대학교,전자통신과(e-MU)
전문대학,경기,경기과학기술대학교,컴퓨터모바일융합과
전문대학,경기,경기과학기술대학교,컴퓨터모바일융합과
대학원,경남,경남과학기술대학교 대학원,컴퓨터공학과
대학,경남,경남대학교,정보보안전공
대학,경남,경남대학교,정보통신공학과
대학원,경남,경남대학교 대학원,융합IT공학과
대학원,경남,경남대학교 산업경영대학원,정보통신공학과
전문대학,부산,경남정보대학교,컴퓨터계열
전문대학,부산,경남정보대학교,컴퓨터계열
전문대학,부산,경남정보대학교,컴퓨터정보공학과
대학,경기,경동대학교,소프트웨어학과
전문대학,경기,경민대학교,정보통신과
전문대학,경기,경민대학교,정보통신과
전문대학,경기,경민대학교,정보통신학과
대학,대구,경북대학교,전자공학부모바일공학전공
대학원,대구,경북대학교 일반대학원,모바일통신공학과
대학원,대구,경북대학교 일반대학원,정보보호학학과간협동과정
대학원,대구,경북대학교 일반대학원,한국전자통신연구원학연산협동과정
전문대학,경북,경북도립대학교,군사학과
전문대학,경북,경북도립대학교,전기전자과(3년제)
대학,경남,경상대학교,정보통신공학과
대학원,경남,경상대학교 대학원,소프트웨어융합공학과
대학원,경남,경상대학교 대학원,정보과학과
대학원,경남,경상대학교 대학원,정보통신공학과
대학원,경남,경상대학교 융합과학기술대학원,정보처리학전공
대학원,경남,경상대학교 융합과학기술대학원,정보통신학전공
대학,부산,경성대학교,정보통신공학과
대학,경북,경운대학교,항공정보통신공학과
대학,경북,경일대학교,컴퓨터사이언스학부 사이버보안전공
대학원,경북,경일대학교 일반대학원,IT공학과
대학원,경북,경일대학교 일반대학원,사이버보안학과
대학,경북,경주대학교,정보통신공학전공
대학,서울,경희대학교,정보디스플레이학과
대학원,서울,경희대학교 대학원,소셜네트워크과학과
대학,서울,경희사이버대학교,AI사이버보안전공
대학,서울,고려대학교,사이버국방학과
대학원,서울,고려대학교 대학원,뇌공학과
대학원,서울,고려대학교 대학원,인공지능학과
대학원,서울,고려대학교 대학원,정보보안학과
대학원,서울,고려대학교 정보보호대학원,공공보안정책학과
대학원,서울,고려대학교 정보보호대학원,금융보안학과
대학원,서울,고려대학교 정보보호대학원,금융보안학과 금융보안정책전공
대학원,서울,고려대학교 정보보호대학원,디지털포렌식학과
대학원,서울,고려대학교 정보보호대학원,블록체인학과
대학원,서울,고려대학교 정보보호대학원,사이버보안학과
대학원,서울,고려대학교 정보보호대학원,사이버안보학과
대학원,서울,고려대학교 정보보호대학원,정보보호학과
대학원,세종,고려대학교(세종) 일반대학원,사이버보안학과
대학,충남,공주대학교,전파공학전공
대학,충남,공주대학교,정보통신공학부
대학,충남,공주대학교,정보통신공학전공
대학원,충남,공주대학교 대학원,군사과학정보학과
대학원,충남,공주대학교 대학원,정보통신공학과
대학원대학,대전,과학기술연합대학원대학교,ICT
대학원대학,대전,과학기술연합대학원대학교,ICT
